owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
1392960,2014-05-02 00:00:00,1,Web,Ticketing,OP - Will Call,$0,$0,Academy of Music,Don Giovanni,2
1393098,2014-09-24 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$238,$0,Academy of Music,The Barber of Seville,2
1393146,2014-01-21 00:00:00,1,Default Channel,xxTP Phone Sales,Email Print at Home,$120,$0,Academy of Music,Ainadamar,2
1396461,2014-04-08 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$198,$0,Academy of Music,Don Carlo,2
1396461,2014-04-08 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$198,$0,Academy of Music,Oscar,2
1396461,2014-04-08 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$198,$0,Academy of Music,The Barber of Seville,2
1396571,2014-03-27 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$246,$0,Academy of Music,Don Giovanni,2
1396990,2014-08-13 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$298,$0,Academy of Music,The Barber of Seville,2
1397254,2014-09-27 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1398804,2014-08-24 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$89,$0,Academy of Music,The Barber of Seville,1
1399223,2014-08-26 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$258,$0,Academy of Music,The Barber of Seville,2
1399879,2014-02-07 00:00:00,1,Default Channel,xxTP Phone Sales,Email Print at Home,$326,$0,Academy of Music,Don Giovanni,2
1400716,2014-09-23 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1400738,2014-01-14 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$148,$0,Perelman,Dialogues of the Carmelites,2
1400738,2014-03-10 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$202,$0,Academy of Music,Don Giovanni,2
1400843,2014-04-03 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$100,$0,Academy of Music,Don Giovanni,5
1402899,2014-01-28 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$226,$0,Academy of Music,Don Giovanni,2
1403276,2014-01-13 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$210,$0,Perelman,A Coffin in Egypt,2
1403281,2014-03-12 00:00:00,2,Phone,Ticketing,OP - US Mail,$1290,$0,Academy of Music,Don Carlo,4
1403281,2014-03-12 00:00:00,1,Phone,Ticketing,OP - US Mail,$1290,$0,Academy of Music,Oscar,2
1403281,2014-03-12 00:00:00,1,Phone,Ticketing,OP - US Mail,$1290,$0,Academy of Music,The Barber of Seville,2
1403522,2014-05-03 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$72,$0,Academy of Music,Don Giovanni,2
1404275,2014-08-29 00:00:00,1,Default Channel,xx1 TP KC BO,Box Office Window,$407,$0,Academy of Music,The Barber of Seville,2
1405322,2014-09-04 00:00:00,1,Default Channel,xxTP Phone Sales,U.S. Mail,$258,$0,Academy of Music,The Barber of Seville,2
1405653,2014-09-27 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,2
1405976,2014-09-22 00:00:00,2,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,5
1406117,2014-09-12 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$238,$0,Academy of Music,The Barber of Seville,2
1406218,2014-09-29 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$177,$0,Academy of Music,The Barber of Seville,3
1406311,2014-04-11 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$780,$0,Academy of Music,Don Carlo,2
1406311,2014-04-11 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$780,$0,Academy of Music,Oscar,2
1406311,2014-04-11 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$780,$0,Academy of Music,The Barber of Seville,2
1406672,2014-08-08 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$89,$0,Academy of Music,The Barber of Seville,1
1406747,2014-09-05 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$198,$0,Academy of Music,The Barber of Seville,2
1406815,2014-12-09 00:00:00,1,Phone,Ticketing,OP - US Mail,$0,$0,Academy of Music,Oscar,2
1406815,2014-03-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$780,$0,Academy of Music,Don Carlo,2
1406815,2014-03-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$780,$0,Academy of Music,Oscar,2
1406815,2014-03-28 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$780,$0,Academy of Music,The Barber of Seville,2
1406927,2014-06-11 00:00:00,1,Default Channel,xxTP App/Web Sales,Email Print at Home,$78,$0,Perelman,A Coffin in Egypt,2
1408088,2014-02-07 00:00:00,1,Default Channel,xxTP Phone Sales,Hold at Box Office,$286,$0,Academy of Music,Ainadamar,2
1408196,2014-12-18 00:00:00,1,Default Channel,xxTP App/Web Sales,U.S. Mail,$338,$0,Academy of Music,Don Carlo,2
1408291,2014-09-21 00:00:00,1,Web,Ticketing Web Stbs,Email Print at Home,$0,$0,Independence Mall,OOTM: The Barber of Seville,4
1408845,2014-12-04 00:00:00,1,Phone,Ticketing,OP - US Mail,$0,$0,Academy of Music,Oscar,2
1408845,2014-08-04 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$517,$0,Academy of Music,Don Carlo,2
1408845,2014-08-04 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$517,$0,Academy of Music,The Barber of Seville,2
1408845,2014-08-04 00:00:00,1,Telemarketing,Ticketing,OP - US Mail,$517,$0,Perelman,Ariadne auf Naxos,2
